Year,RegionCode,PersonsEngaged,AvgHoursWorked
1982,DEU,38.3096542358398,1723.61587538421
1983,DEU,38.0301895141602,1710.57338040167
1984,DEU,38.2259216308594,1699.53742310876
1985,DEU,38.572887420654304,1676.46223967812
1986,DEU,39.01647949218751,1657.40013162672
1987,DEU,39.3557395935059,1634.32494819608
1988,DEU,39.598316192627,1629.30860397203
1989,DEU,39.8316688537598,1606.23342054139
1950,FRA,19.5536651611328,2350.95961922309
1951,FRA,19.6878414154053,2360.51578305292
1952,FRA,19.7677745819092,2338.8275198704
1953,FRA,19.6939277648926,2313.31221098633
1954,FRA,19.7337532043457,2316.42755717836
1955,FRA,19.8879985809326,2292.0477029135
1956,FRA,20.1383972167969,2236.06132286438
1957,FRA,20.2924823760986,2199.60516841742
1958,FRA,20.2432460784912,2179.39331619537
1959,FRA,20.1340923309326,2179.2483721855
1960,FRA,20.1682720184326,2188.477149804
1961,FRA,20.160270690918,2165.18957557707
1962,FRA,20.1441192626953,2177.76889065527
1963,FRA,20.2943649291992,2159.34232457222
1964,FRA,20.5105094909668,2166.1525250061
1965,FRA,20.57350730896,2153.15842980835
1966,FRA,20.7320995330811,2144.5720216258
1967,FRA,20.7899112701416,2110.47164725137
1968,FRA,20.7368717193604,2086.60223927417
1969,FRA,21.0490531921387,2011.94969809347
1970,FRA,21.3323135375977,1992.50797522987
1971,FRA,21.3912239074707,1989.73169592828
1972,FRA,21.5059127807617,1936.62769759131
1973,FRA,21.7946891784668,1920.42694314749
1974,FRA,22.0068511962891,1888.46777339321
1975,FRA,21.8664264678955,1862.60458950448
1976,FRA,22.0828533172607,1888.88616375011
1977,FRA,22.2907104492188,1850.32821065876
1978,FRA,22.4238395690918,1819.02715861884
1979,FRA,22.5713405609131,1815.54144112166
1980,FRA,22.6621704101563,1806.13378384347
1981,FRA,22.6307773590088,1785.58718719604
1982,FRA,22.6859302520752,1714.37840102306
1983,FRA,22.6903839111328,1696.30262228501
1984,FRA,22.5727272033691,1689.65015974441
1985,FRA,22.5525608062744,1654.32205274158
1986,FRA,22.6970386505127,1648.35168385184
1987,FRA,22.9224720001221,1659.38566478045
1988,FRA,23.1696071624756,1667.40755864466
1989,FRA,23.4682865142822,1651.26678052946
1951,GRC,3.37512397766113,2312.55134490227
1952,GRC,3.41195321083069,2302.98814340196
1953,GRC,3.4474241733551,2293.46448905512
1970,CHN,360.95639038085903,1976.31198565754
1971,CHN,375.930297851563,1975.79368335085
1972,CHN,386.572204589844,1975.50769609747
1973,CHN,395.44314575195295,1975.36479610658
1974,CHN,407.25811767578097,1975.18970182042
1975,CHN,419.791931152344,1974.89744134269
1976,CHN,431.85815429687506,1974.20747917558
1977,CHN,442.637634277344,1973.4352539229
1978,CHN,454.20285034179693,1972.72743689147
1979,CHN,467.560119628906,1972.10381751923
1980,CHN,484.668853759766,1971.49673892565
1981,CHN,504.651824951172,1971.10161985003
