YearCode,RegionCode,pop,rgdpo
1950,ARG,17.0918238878501,50108.76171875
1950,AUS,8.35410617339282,114123.6328125
1950,AUT,6.98075136783072,41605.02734375
1950,BEL,8.6343310225168,72084.2734375
1950,BOL,2.85371787129378,6936.59716796875
1950,BRA,53.1241323964634,88442.671875
1950,CAN,13.7694201726474,177335.015625
1950,CHE,4.60700445872875,74871.40625
1950,COD,12.4661654795711,26857.60546875
1950,COL,11.618923138933,40504.57421875
1950,CRI,0.922867243628415,3368.57568359375
1950,CYP,0.493210678774414,1604.56127929688
1950,DEU,68.734097311722,359301.8125
1950,DNK,4.27315224601714,45009.8203125
1950,ECU,3.44337882732986,11583.6611328125
1950,EGY,21.7910704388984,15248.1015625
1950,ESP,28.0689849732929,108286.5390625
1950,ETH,19.453371182715,8276.646484375
1950,FIN,4.01417332837253,26417.30078125
1950,FRA,42.5499134699338,324868.6875
1950,GBR,50.0742453804344,523645.375
1950,GTM,3.17065153451001,7246.31787109375
1950,HND,1.4086261964945,3294.8154296875
1950,IND,370.748835956476,352476.59375
1950,IRL,2.92115649030631,15888.3115234375
1950,ISL,0.143163501397659,1361.4189453125
1950,ISR,1.2464033403543,7212.54345703125
1950,ITA,46.9802348748976,213111.0625
1950,JPN,84.27426691312019,236383.171875
1950,KEN,6.1506883544946,10111.61328125
1950,LKA,7.453710638759059,20875.931640625
1950,LUX,0.296017517558489,4416.392578125
1950,MAR,9.39944426489449,13039.5146484375
1950,MEX,27.7934452562573,140761.4375
1950,MUS,0.479488824574644,2495.9814453125
1950,NGA,32.0237562989335,57640.26953125
1950,NIC,1.28725571450805,4680.00927734375
1950,NLD,10.0899418729007,90883.765625
1950,NOR,3.26400929400817,32074.158203125
1950,NZL,1.90178973029058,22752.658203125
1950,PAK,34.9070508877986,48223.3984375
1950,PAN,0.885650699346966,1921.75524902344
1950,PER,7.78696587366771,17523.744140625
1950,PHL,19.5985174230289,28958.4140625
1950,PRT,8.07601568330404,24053.720703125
1950,SLV,1.97702581685594,1321.47131347656
1950,SWE,7.02456891111864,73512.6171875
1950,THA,19.9301377159581,24299.822265625
1950,TTO,0.625620479517191,3821.8254394531295
1950,TUR,20.600616472753,70226.046875
1950,UGA,5.33057615564917,4849.0087890625
1950,URY,2.18349963106584,14250.416015625
1950,USA,155.58397296844,2475627.5
1950,VEN,5.30623844313356,32480.21875
1950,ZAF,13.195170987394,78747.9765625
1951,ARG,17.4575780823534,51339.16796875
1951,AUS,8.59992257252082,110532.140625
1951,AUT,6.98110463017192,43706.10546875
1951,BEL,8.67332499381653,75056.8125
1951,BOL,2.91318429639175,7515.319335937501
1951,BRA,54.6673272481976,91100.375
1951,CAN,14.0831590783866,183433.796875
1951,CHE,4.66098542671712,81711.3359375
1951,CHL,6.52859273671005,29655.85546875
1951,COD,12.7078410096863,31369.732421875
1951,COL,11.9931438164553,41120.39453125
1951,CRI,0.953048917869081,3494.86572265625
1951,CYP,0.501197882872897,1692.82666015625
1951,DEU,69.0738674780284,397637.375
1951,DNK,4.30578863774728,44230.96875
1951,DOM,2.46122294473568,6034.60009765625
1951,ECU,3.53386029046312,11989.2421875
1951,EGY,22.3120077831829,16005.28515625
1951,ESP,28.3040817940615,127579.4453125
1951,ETH,19.7781751814319,9413.03515625
1951,FIN,4.05262353429945,29712.3671875
1951,FRA,42.8943363021612,342548.1875
1951,GBR,50.2370758517064,540520.25
1951,GRC,7.53401679443471,28382.45703125
1951,GTM,3.27403542656498,7378.725585937501
1951,HND,1.45068867315705,3397.69116210938
1951,IND,377.06649752090897,367210.6875
1951,IRL,2.91750192969056,16082.861328125
1951,ISL,0.145833703815265,1341.783203125
1951,ISR,1.4439729918102,9678.806640625
1951,ITA,47.2924055734484,232222.296875
1951,JPN,85.640724365724,261288.65625
1951,KEN,6.31965119137137,12040.6298828125
1951,LKA,7.67333681119271,22642.18359375
1951,LUX,0.297858193181476,4687.52783203125
1951,MAR,9.69142312158985,13171.1669921875
1951,MEX,28.584803829813,152422.34375
1951,MUS,0.496747729905255,2589.45166015625
1951,NGA,32.7238634550463,57893.16796875
1951,NIC,1.32640511555026,5349.4111328125
1951,NLD,10.2403737743771,95223.671875
1951,NOR,3.29474380844271,33760.58203125
1951,NZL,1.94073515597472,20919.669921875
1951,PAK,35.7335092588977,49142.1328125
1951,PAN,0.908531691371159,1901.68432617188
1951,PER,7.984585786466311,18886.4921875
1951,PHL,20.1957158999272,29760.166015625
1951,PRT,8.12145206046988,26822.4296875
1951,PRY,1.51406193534854,3635.0483398437505
1951,SLV,2.02794046243031,1322.43151855469
1951,SWE,7.083482522941271,75832.140625
1951,THA,20.5384406197066,23497.337890625
1951,TTO,0.642151876057788,4227.69091796875
1951,TUR,21.1348012393269,86964.75
1951,TWN,7.758202,12574.0830078125
1951,UGA,5.47462181956785,6044.87939453125
1951,URY,2.21214326895116,16780.669921875
1951,USA,158.247703858109,2660815.75
1951,VEN,5.52659592299149,35887.16015625
1951,ZAF,13.5159058202275,82031.890625
1952,ARG,17.8159665165356,46855.1015625
1952,AUS,8.78242978103915,109025.1015625
1952,AUT,6.97337509655404,44922.38671875
1952,BEL,8.72531377848887,76747.5234375
1952,BOL,2.97472332402235,7477.65966796875
1952,BRA,56.2647618906751,100770.109375
1952,CAN,14.5302113162816,199360.34375
1952,CHE,4.725762213903351,81576.65625
1952,CHL,6.659840253593449,32103.27734375
1952,CHN,579.577177525343,558018.375
1952,COD,12.9542400198666,33562.7265625
1952,COL,12.3798220110526,43874.55859375
